Source,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,total_count,Association
Future News - Media Planner,56,28,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95,--
Gator Times: University of Florida,33,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,US
Global Times (China),1615,18,36,68,27,14,32,4,76,0,6,14,22,2,11,0,1,21,5,3,0,8,1,0,9,54,0,0,0,12,15,0,8,10,7,0,12,21,8,0,11,1,13,0,18,9,2,3,2,2,0,0,8,4,13,1,0,0,17,6,6,10,0,23,2289,China
Globes,220,13,0,6,0,0,2,0,7,0,0,13,0,2,2,0,0,0,12,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,297,Israel
Gulf Times,444,5,0,4,10,13,24,1,4,0,4,0,20,0,1,0,2,7,2,0,0,0,2,1,6,2,0,2,0,1,0,1,1,5,3,2,3,2,0,0,7,4,0,2,1,1,1,0,0,0,0,0,0,3,3,1,0,0,2,4,2,0,1,1,605,MENA
Haaretz (English),3245,13,50,48,60,45,38,31,22,0,52,5,11,19,42,0,23,23,16,17,20,14,16,14,15,35,0,13,11,14,15,14,16,24,34,14,14,11,30,9,16,9,22,12,9,5,20,16,12,9,0,0,8,0,14,9,13,0,10,4,2,5,10,9,4307,Israel
Herald Sun (Australia),438,2,1,2,7,2,7,6,0,0,4,2,0,0,2,0,1,8,1,9,6,2,7,4,0,0,0,5,0,2,0,2,0,0,1,7,0,0,1,3,0,1,0,1,0,1,0,2,1,4,0,0,4,0,0,4,0,0,1,3,0,3,0,0,557,Australia
Hindustan Times,3703,37,55,41,46,34,37,24,20,0,26,12,32,24,21,0,14,17,20,17,17,16,11,11,16,19,0,17,7,10,16,10,10,19,16,19,11,20,16,14,18,28,12,11,7,11,9,16,9,7,5,0,14,12,7,7,17,201,9,4,2,17,7,6,4891,India
Hindustan Times Lucknow,290,8,1,8,2,6,2,1,8,0,1,10,0,2,2,0,2,0,1,1,1,2,0,2,4,9,0,0,2,1,0,0,1,1,0,2,0,2,1,0,3,0,2,0,2,1,1,1,0,0,0,0,1,1,3,1,0,18,4,2,0,9,0,0,422,India
Hürriyet Daily News,585,2,6,7,21,5,5,0,3,0,3,0,9,0,4,0,4,5,2,5,2,0,2,2,7,1,0,0,0,0,2,0,5,4,6,1,2,4,0,0,0,1,9,1,3,3,1,1,1,1,3,0,0,6,4,3,0,0,0,9,5,0,1,0,756,MENA
India Weekly,476,2,6,2,4,7,7,8,3,0,1,0,0,1,3,0,3,4,7,0,3,2,1,5,2,0,0,1,0,1,1,1,5,4,3,4,0,2,3,0,3,2,1,0,0,2,4,0,2,0,0,0,0,1,2,0,1,0,2,1,1,2,3,0,599,India
